SMILES,logBCF
CC(C)(C)c1nn(-c2nc(O)nc(-n3nc(C(C)(C)C)c(N=Nc4c(C#N)cnn4-c4cc(C(=O)O)cc(C(=O)O)c4)c3N)n2)c(N)c1N=Nc1c(C#N)cnn1-c1cc(C(=O)O)cc(C(=O)O)c1,0.4
CN(C)CCCNC(N)=O,0.36
O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,0.26
COC(=O)c1ccc(OC(=O)c2cc(OC)c(OC)cc2OC)cc1,0.26
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)OP(=O)([O-])Oc1c(cc(C(C)(C)C)cc1C(C)(C)C)C2,0.24
COC(OC)N(C)C,-0.12
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,-1
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,4.47
Brc1cc(Br)cc(-c2cc(Br)cc(Br)c2)c1,1.26
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,4.13
Cc1ccc(S(=O)(=O)Oc2c(C(=O)c3ccc(Cl)cc3Cl)c(C)nn2C)cc1,0.92
CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(NC)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,1.85
CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,1.75
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.32
COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,1.23
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,1.73
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,2.11
CC(C)OP(C)(=O)OC(C)C,0
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(Cl)cc1,1.87
CCCCCCCCCCC(C)c1ccccc1,2.25
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,3.94
CC(C)c1ccc(-c2ccc(Cl)cc2)cc1,3.04
CC(C)c1ccc(-c2cc(Cl)cc(Cl)c2)cc1,3.04
Brc1ccc(-c2cc(Br)cc(Br)c2)cc1,1.69
Brc1cc(Br)cc(-c2ccccc2)c1,0.81
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.11
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],1.96
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],2.44
Cc1cc([N+](=O)[O-])c(N(CCCl)CCCl)c([N+](=O)[O-])c1,1.62
CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.59
CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],1.51
CCCCCCCCCCCCCCCCOS(=O)(=O)O,1.86
CCCCCCCCCCCCCCOS(=O)(=O)O,1.04
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,1.41
CN(C)C(=S)S,2.13
S=C(S)NCCNC(=S)S,1.87
Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,2.75
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.88
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,2.4
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,2.32
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,1.19
O=C(O)C1C2CCC(O2)C1C(=O)O,0.53
COP(=O)(NC(C)=O)SC,-1.4
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,4.9
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,4.43
Brc1ccc2[nH]ccc2c1,1.76
CCc1cccc(CC)c1N,2.08
COc1ccccc1,1.34
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,2.67
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,1.11
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,-0.23
COc1ccc(C(=O)c2ccccc2)c(O)c1,1.98
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1C(Br)C(Br)(Br)Br,2.57
CC(C)(C)c1cccc(C(C)(C)C)c1O,2.82
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,2.98
CCOP(=S)(OCC)SCSCC,2.44
CCCSP(=O)(OCC)SCCC,1.17
COc1nc(NC(C)C)nc(NC(C)C)n1,0.89
C#CC(C)N(C(=O)CCl)c1ccccc1,1.44
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,2.67
CNC(=O)Oc1ccc(N(C)C)c(C)c1,0.44
CCCCCCc1ccc(O)cc1,2.29
c1ccc2cc3cc4ccccc4cc3cc2c1,2.41
CC(C)CCCCCCc1ccc(O)cc1,2.48
CN(C)CCOC(c1ccccc1)c1ccccc1,1.57
CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,0.72
CC(C)(c1ccccc1)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,3.45
CCCCCCC(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,2.84
Cc1cccc(C)c1N,0.45
c1ccc2nc3ccc4ccccc4c3cc2c1,2.02
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,-0.44
Cc1cc(Br)c(C)cc1Br,3.16
Cc1cc(Br)ccc1Br,2.67
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,3.32
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,1.38
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,4
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,-0.21
CCCCSP(=O)(SCCCC)SCCCC,3.19
