MaxAbsEStateIndex,MaxEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Chi0n,Chi0v,Chi1n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,Kappa1,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA2,PEOE_VSA6,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,FractionCSP3,NHOHCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_NH1,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_benzene,fr_ester,fr_furan,fr_ketone,fr_nitro_arom,fr_phenol,fr_phenol_noOrthoHbond,PPARd,CAR,CYP2C9,CYP3A4,PPARg,PXR,FBP4,OATP
0.839307632,0.839307632,0.517515795,0.189230791,0.123193993,0.32799406,0.328483181,0.325525629,0.217391304,0.757924674,0.710571416,0.518486355,0.599686682,0.383399209,0.418290855,0.432147563,0.585103592,0.222798012,0.524391071,0.337355883,0.70143816,0.375333835,0.500635726,0.291911865,0.559999198,0.575029186,0.187929118,0.302295167,0.179248737,0.251339515,0.166377589,0.377294517,0.098635583,0.36956651,0.298530486,0.259557172,0,0,0,0,0.37261111,0.123085035,0,0.110880838,0.508037938,0,0.105880439,0.03935363,0,0,0,0,0.613230561,0.363997165,0.114135746,0,0,0,0,0.324977104,0.107566417,0,0,0.155031015,0.514153319,0.450339067,0.192909565,1,0,0,0,0,0,0,0,0.401389107,0.263403721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992819679,0.978778374,0.933292079,0.156772146,0.084242015,0.93919332,0.38,0.60070359
0.818843575,0.818843575,0.755323639,0.553305735,0.215574402,0.225114621,0.222188844,0.22459474,0.224637681,0.526965541,0.502905406,0.497094594,0.652486361,0.532467532,0.650246305,0.774891775,0.193279145,0.264757792,0.645287907,0.45106267,0.736408675,0.47626028,0.24792187,0.230331816,0.740624801,0.102902715,0.249732056,0.252594995,0.253272997,0.231709352,0.314565774,0.231268546,0.299921378,0.207741509,0.230267824,0.251657244,0.150619331,0.276335008,0,0.171027186,0.131638496,0.260315295,0.261610368,0.087232669,0.151709292,0.493093917,0.337308543,0.064315689,0.388635914,0.384740426,0.152472622,0.333333333,0.145649476,0.036905474,0.602442099,0.082250094,0.274875669,0,0,0.196232954,0.17216871,0,0.250079562,0,0.234719528,0.15998467,0.362771129,0.272727273,0,0.166666667,0.142857143,0.181818182,0.181818182,0.166666667,0.272727273,0.414886365,0.266119278,0,0.25,0.25,0,0.142857143,0,0,0.181818182,0.25,0,0,0,0,0,0.054436999,0.97858876,0.962891698,0.897701383,0.001522306,0.966862357,0.26,0.15753544
0.047849848,0.047849848,0.949129768,0.639728662,0.080956052,0.070158369,0.071395385,0.07007708,0.054347826,0.150195803,0.884240836,0.115759164,0.091129031,0.345454545,0.434482759,0.460606061,0.163236827,0.378890521,0.313157787,0.643107362,0.574346842,0.794754338,0.312015908,0.846595879,0.559908753,0.207729631,0.064959148,0.082911457,0.074321966,0.103286351,0.081488925,0.142878726,0.076146673,0.14059956,0.046955005,0.073391303,0,0,0,0,0,0.04687267,0.143709606,0,0.117917442,0,0,0,0.192457822,0.213616749,0,0,0.14233303,0,0,0,0.147743639,0,0.145286126,0,0,0,0.186879326,0.17043542,0,0.06517015,0.229824247,0,0,0,0,0,0.181818182,0,0.181818182,0.303138108,0.106850622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987518036,0.990547037,0.640591872,0.481668252,0.518620443,0.890845156,0.365,0.78677833
0.168370054,0.168370054,0.979801525,0.472501978,0.055050116,0.016136809,0.016559086,0.016138699,0.018115942,0.125546921,0.736561597,0.263438403,0.054404132,0.363636364,0.517241379,0.484848485,0.008389488,0.433070859,0.123439763,0.741777066,0.301513912,0.775433971,0.081068723,0.66801444,0.298862591,0.279644016,0.029532116,0.022363073,0.037230644,0.020304445,0.035918435,0.025130823,0.028421404,0.018189323,0.010776957,0.021088278,0,0,0,0,0.136839785,0.023436335,0.076163069,0,0,0,0,0,0.168100545,0,0,0,0,0.030813651,0,0,0.129045347,0,0,0,0,0,0.102150818,0.024252165,0,0.022068545,0.243885499,0,0,0,0,0,0.090909091,0,0.090909091,0.204063904,0.045080618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022944941,0.009526065,0.002149206,0.69188925,0.000968619,0.01234262,0.19,0.700743479
0.778986129,0.778986129,0.63391364,0.593660143,0.119814958,0.165661654,0.162416259,0.165634835,0.155797101,0.544402798,0.493779961,0.506220039,0.678466505,0.626794258,0.680580762,0.740031898,0.170166513,0.285899112,0.489158303,0.392693253,0.759442214,0.48275327,0.459072238,0.232406826,0.518642982,0.279823628,0.170283221,0.195931241,0.156386797,0.283253871,0.144863686,0.358594886,0.125054546,0.295400177,0.183611577,0.16502604,0.219152495,0.065764303,0,0.159527372,0.131638496,0.161152954,0.152505526,0.113586814,0.181250258,0,0,0.039243197,0.197236591,0,0,0,0.107189721,0.16566602,0,0.057177602,0.127944604,0,0,0.05387544,0.066666667,0.070503909,0.057066586,0,0.183830029,0.100351813,0.35548647,0.416666667,0,0,0,0.090909091,0.090909091,0,0.090909091,0.30581456,0.196827036,0,0.25,0.25,0,0,0,0,0.090909091,0.25,0,0,0,0,0,0.087189831,0.998370194,0.999979019,0.931288826,0.070139905,0.940196049,0.25,0.259502174
0.523194919,0.523194919,0.622192281,0.803651602,0.090454896,0.117849896,0.117806395,0.117856616,0.108695652,0.623222268,0.54321244,0.45678756,0.795901327,0.563636364,0.613793103,0.654545455,0.166032848,0.315754985,0.422871394,0.423980583,0.673763672,0.573004346,0.398987254,0.355141399,0.471757124,0.254549283,0.120579753,0.135924796,0.105648357,0.157290664,0.104482295,0.181652575,0.078963007,0.105013073,0.125054624,0.116873517,0.215764244,0.072022305,0,0,0,0,0.152326138,0.08297125,0.096344558,0.493093917,0,0,0.163903258,0.258827472,0.145612739,0.166666667,0.042175963,0.087913228,0.238834218,0.017934405,0.102355684,0,0,0,0.114153327,0,0.2,0,0.220097031,0.082555381,0.192909565,0.222222222,0,0,0,0.090909091,0.090909091,0,0.090909091,0.260851831,0.139738298,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.014541439,0.966900885,0.999276721,0.246758085,0.273213681,0.721099937,0.395,0.683672196
0.266488684,0.266488684,0.904109612,0.791025004,0.078600967,0.180818033,0.185679681,0.179132606,0.072463768,0.294901664,0.458008093,0.541991907,0.306729404,0.504132231,0.536050157,0.573002755,0.585112707,0.361093645,0.359594662,0.507025553,0.612558059,0.632657605,0.502538399,0.395402832,0.338616226,0.313887675,0.072534428,0.142810554,0.067894513,0.123170841,0.074005526,0.124352322,0.065821881,0.192387888,0.091268197,0.111617965,0.075309665,0.072022305,0,0,0,0.061542518,0.276163069,0.028960021,0.248538463,0,0,0,0.140396454,0.125912955,0.152472622,0.166666667,0.3,0.043956614,0,0,0.107777812,0,0,0,0,0.242905989,0.058600126,0.232546523,0.034026431,0.143678536,0.192909565,0.142857143,0,0,0,0.090909091,0.090909091,0,0.090909091,0.324073997,0.129192908,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0.199311988,0.23265257,0.200956917,0.410274431,0.002108696,0.046099706,0.37,0.660723027
0.328157388,0.328157388,0.721172752,0.189228365,0.093462367,0.225262119,0.210792619,0.225322923,0.253623188,0.74037407,0.550969431,0.503395713,0.876244548,0.210031348,0.2960761,0.392894462,0.154727335,0.25370657,0.417931922,0.425401281,0.641350652,0.546227462,0.33420815,0.350689487,0.609299318,0.083921247,0.295180773,0.284392488,0.330800604,0.239021665,0.303768757,0.261919103,0.282897392,0.239734642,0.274997782,0.259225606,0.14384283,0.144044611,0,0,0.124203703,0.415423718,0.192632756,0.08297125,0.044738082,0,0,0.25,0.333333333,0.251825909,0.291225478,0.333333333,0.054001398,0.040847318,0,0.25,0.255889209,0,0,0,0.066666667,0.227092686,0,0.033691079,0.097486652,0.022068545,0.192909565,0.52,0,0,0,0.181818182,0.181818182,0,0.181818182,0.519169514,0.307094217,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0.985341954,0.80783143,0.921184039,0.858235407,0.450370122,0.950495255,0.34,0.610185157
0.365904253,0.365904253,0.824287495,0.152022861,0.220663069,0.313001293,0.302821625,0.310787245,0.27173913,0.160252064,0.908175648,0.091824352,0.106112071,0.162337662,0.251231527,0.359307359,0.192973271,0.236346573,0.452104624,0.397848741,0.577925667,0.435993352,0.223555653,0.435331746,0.566534928,0.420956486,0.273029579,0.350966254,0.296982979,0.356386764,0.29941324,0.374287573,0.270318826,0.317333452,0.360815291,0.315979409,0,0,0,0,0,0.05155434,0.406223225,0,0.482659959,0,0,0.390290333,0,0,0,0,0.582597903,0.265952526,0,0.251621204,0,0,0,0.388243472,0.129578454,0.650952775,0,0.033691079,0.666666667,0.630885378,0.192909565,1,0,0,0,0,0,0,0,0.564156235,0.336594378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76595127,0.05400268,0.629427195,0.268387025,0.992003047,0.926795888,0.36,0.612299916
0.707300079,0.707300079,0.610453091,0.460028227,0.148804934,0.173092345,0.167481107,0.173119541,0.177536232,0.529059004,0.541769301,0.458230699,0.655605456,0.714285714,0.783251232,0.848484848,0.166019506,0.304820518,0.46736275,0.369735027,0.673459835,0.416584709,0.400381021,0.160540195,0.495134786,0.295180389,0.1992448,0.209038035,0.190806408,0.219569164,0.178833166,0.242605494,0.145098024,0.252549986,0.201470324,0.177593668,0.14384283,0,0,0.161095715,0.277698055,0.050184968,0.317821005,0.085414085,0.125526361,0,0,0.129452528,0.186145846,0.125912955,0.309365253,0.166666667,0.041697564,0.108639818,0.359123654,0.10559095,0.076766763,0,0,0.157752822,0.066666667,0.151873006,0.1,0.024754906,0.149803598,0.08762038,0.335885859,0.538461538,0.076923077,0,0,0.090909091,0.090909091,0,0.090909091,0.321940282,0.21148365,0,0,0,0.25,0,0,0.166666667,0.090909091,0,0,0,0.333333333,0,0,0.488954477,0.988482523,0.999474001,0.823038745,0.00967283,0.960029602,0.455,0.422014852
