SMILES,Predicted logBCF
CS([O-])(=O)=O.C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.19435617
F.CCN(CCC[Si](OC)(OC)OC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.15787425
CO[Si](CCCNC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F)(OC)OC,1.263458908
C[N+](C)(CCCN(CCCS([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCOCCO,1.138199863
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.222815369
OP(=O)(C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F,1.87855973
[Br-].CCC[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.143287667
CC1=CC=C(C=C1)S([O-])(=O)=O.CCC[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.071485086
COCCOCCOCCOCCOCCOCCOCCOCCOC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,2.421730548
[Br-].CCCCCC[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.251844464
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)CS(O)(=O)=O,1.44976831
FC(F)(F)C(F)(F)CCCCC(F)(F)C(F)(F)F,2.222970635
[NH4+].[O-]S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.051945727
C[N+](C)(C)C.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.20760802
FC(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(=O)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.17126736
