SMILES,prediction_probability
C=CC1CCC(C2CCC(c3ccc(C)cc3)CC2)CC1,0.63490579814366
CCCCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,0.40056592383671996
CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C,0.4310308289789953
CCCCCCCCCC[n+]1cccc(COCCCCOCc2ccc[n+](CCCCCCCCCC)c2)c1,0.5814511795192704
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.1029386897705102
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,0.42192009467184527
CCCc1ccc(-c2ccc(-c3ccc(CC)cc3)cc2F)cc1,0.38838510601849774
O=C(c1ccccc1)c1cc(Cl)ccc1Cl,0.14829583218266446
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.3271424161480725
CCCC1CCC(c2ccc(OCC)c(F)c2F)CC1,0.40291440868520484
C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.35138783542165664
C1CC[N+]2(C1)CCCC2,0.7024229996490632
CCCc1ccc(-c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1,0.3794449885832419
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)NC(=O)Nc1cccc(-c2nn3nc(C(C)(C)C)c(Cl)c3[nH]2)c1,0.14019049819950952
CCCCN(CCCC)c1ccc([N+](=C2C=CC(=[N+](c3ccc(N(CCCC)CCCC)cc3)c3ccc(N(CCCC)CCCC)cc3)C=C2)c2ccc(N(CCCC)CCCC)cc2)cc1,0.6519695335877583
CC(C)CC(C)c1sccc1N,0.598001602880533
CCCCC(CC)C(=O)OCCOc1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(O)c1,0.1576168399923957
CC(C)(C)c1ccc(O)c([N+](=O)[O-])c1,0.3853802301181996
CCCCC(CC)COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.22198237568874363
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.654722270347533
O=C(O)C1CC2CC1C1C3C=CC(C3)C21,0.34646851764891123
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.43200827547937165
CCn1cc[n+](C)c1C,0.7256681305391227
FP1(F)=NP(F)(F)=NP(F)(Oc2ccccc2)=N1,0.5270775646452851
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.17298872512400776
CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,0.4464750665818832
Oc1ccc(-c2ccccc2)cc1,0.5155592089193608
c1ccc(OP2(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=N2)cc1,0.6265764849238358
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,0.21511410955712534
CC(=O)Oc1ccc(C(C)(C)CC(C)(C)C)cc1C1C(=O)Oc2ccc(C(C)(C)CC(C)(C)C)cc21,0.25713858981604437
Cc1cc(N=Nc2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(N=Nc4c(Nc5ccccc5)ccc5c(O)c(N=Nc6ccc7c(O)c(N=Nc8ccccc8S(=O)(=O)O)c(S(=O)(=O)O)cc7c6)c(S(=O)(=O)O)cc45)ccc3c2O)c(OCCCS(=O)(=O)O)cc1N=Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,0.16728636638659483
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.654722270347533
CCCCCCCCCCCCSCCC(=O)Oc1cc(C)c(Sc2cc(C(C)(C)C)c(O)cc2C)cc1C(C)(C)C,0.23294613914542878
COC(F)(F)C(F)(F)C(F)(F)F,0.7498891179598014
[N-]=[N+]=C(S(=O)(=O)C1CCCC2(C1)OCCO2)S(=O)(=O)C1CCCC2(C1)OCCO2,0.3726877947994654
O=P(O)(O)c1ccccc1,0.5250014854697662
CC1CCCCC1NC(=O)CC(CC(=O)NC1CCCCC1C)C(=O)NC1CCCCC1C,0.32215596977752475
CCCCc1ccc(-c2ccc(-c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)c(F)c2)cc1,0.33835374299596116
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,0.42344461944458567
CCC(COCC(F)(F)C(F)(F)F)OC(=O)CC(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)C(C(=O)OC(CC)COCC(F)(F)C(F)(F)F)S(=O)(=O)O,0.3655230403649008
CCCC1CCC(C2CCC(C(F)(F)Oc3cc(F)c(F)c(F)c3)CC2)CC1,0.37001492590670326
Cc1c(C#N)c(Nc2ccc(S(=O)(=O)O)cc2)nc(Nc2ccc(S(=O)(=O)O)cc2)c1N=Nc1nc(-c2ccc3ccccc3c2)c(N=Nc2cc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c3c2)s1,0.3437385892059423
CCOC(=O)C(=Cc1ccc(C=C(C(=O)OCC)C(=O)OCC)cc1)C(=O)OCC,0.4138702773905565
Cc1ccc(C2OC3COC(c4ccc(C)c(C)c4)OC3C(C(O)CO)O2)cc1C,0.5095022082812583
CSc1c(C)cc(O)cc1C,0.4410880421584028
CCCCOCCCN1C(C(C(=O)Nc2cc(C(C)(C)C)ccc2SCC(CC)CCCC)N2C(=O)OC(C)(C)C2=O)=Nc2ccccc2S1(=O)=O,0.24211376065399381
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.4272104449452754
O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1,0.5628004258583702
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.45049283605383145
CCCCCCC(CCCC)COCC(C[N+]1=Cc2ccccc2CC1)OS(=O)(=O)O,0.4333311255154023
O=S(=O)(O)c1cc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)ccc1C=Cc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1S(=O)(=O)O,0.4019789598938088
CN1CCOCC1,0.8002846899765779
COc1ccccc1NC(=O)C(N=Nc1ccc(S(=O)(=O)O)cc1[N+](=O)[O-])C(C)=O,0.3494076444469703
C[N+]1([O-])CCOCC1,0.6932395089141281
CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,0.25761321150499766
CCC(C)NC1CCC(CC2CCC(NC(C)CC)CC2)CC1,0.6638280877193931
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccc(-c2ccc(OP(=O)(Oc3ccccc3)Oc3ccccc3)cc2)cc1,0.5478185763153239
C1CN2CCN1CC2,0.7309204151850054
CCCCCCCCCCCCCCC(C)c1cc(C)cc(C)c1O,0.4184335924972338
O=C1CN2CCC1CC2,0.6229826632489806
COC(=O)c1nc[nH]c1C(=O)OC,0.4141311656074962
O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,0.43140204524591463
NNC(=O)NN,0.46327867937778416
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,0.24773898462968258
CCCCOP(=O)(O)OCCCC,0.5189536767021251
Cc1cc(Cl)nc(Cl)c1C#N,0.42651131695746114
CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC,0.38013559022670784
CCc1cccc(C)c1Nc1ccc(Nc2c(C)cccc2CC)c2c1C(=O)c1ccccc1C2=O,0.5031602936176099
O=S(=O)(O)c1ccc2c(ccc3nn(-c4ccc(N=Nc5ccc(C=Cc6ccc(-n7nc8cc(S(=O)(=O)O)c9ccccc9c8n7)cc6S(=O)(=O)O)c(S(=O)(=O)O)c5)cc4)nc32)c1,0.333937192817846
CC(=O)C(N=Nc1cc(Cl)c(-c2cc(Cl)c(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0.2786232535317744
CCOc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,0.31741015659725647
COc1ccccc1NC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3OC)c(Cl)c2)cc1Cl)C(C)=O,0.24155616405183314
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C,0.19007890407968833
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1C,0.18879912351542502
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.22051289527558895
CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1,0.2516709287909029
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0.19825633460498904
COc1ccc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(Cl)c3)cc2Cl)C(C)=O)cc1,0.26110089719804264
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0.20689876073288296
COc1ccc(N=Nc2c(S(=O)(=O)O)cc3c(S(=O)(=O)O)c(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccc7c(O)c(N=Nc8ccccc8S(=O)(=O)O)c(S(=O)(=O)O)cc7c6)c(O)c5c4N)ccc3c2O)c(S(=O)(=O)O)c1,0.295715760132264
C1CN(CCOCCN2CCOCC2)CCO1,0.7520277747395363
CC(C)(C)c1nn(-c2nc(O)nc(-n3nc(C(C)(C)C)c(N=Nc4c(C#N)cnn4-c4cc(C(=O)O)cc(C(=O)O)c4)c3N)n2)c(N)c1N=Nc1c(C#N)cnn1-c1cc(C(=O)O)cc(C(=O)O)c1,0.2428408050580339
CN(C)CCCNC(N)=O,0.36983801712406916
O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,0.6894171553004236
COC(=O)c1ccc(OC(=O)c2cc(OC)c(OC)cc2OC)cc1,0.37219760331135104
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)OP(=O)([O-])Oc1c(cc(C(C)(C)C)cc1C(C)(C)C)C2,0.5243655470359224
COC(OC)N(C)C,0.7417297023690723
